price,living_area,number_of_rooms,new_production,monthly_fee,build_year,elevator,city_area
2.75,101,4.0,1.0,5567.0,2015.0,1.0,1
1.8,58,2.0,0.0,3798.0,1958.0,0.0,1
1.53,96,3.0,0.0,5393.0,1993.0,1.0,0
4.175,41,2.0,0.0,980.0,1871.0,1.0,1
4.3,67,2.0,0.0,3360.0,1913.0,1.0,1
3.23,46,1.0,0.0,2211.0,1940.0,1.0,1
2.19,61,2.0,0.0,3967.0,2005.0,1.0,1
3.06,47,2.0,0.0,3589.0,1945.0,0.0,1
1.64,26,1.0,0.0,1870.0,1970.0,1.0,1
1.3,59,2.0,0.0,2773.0,1958.0,1.0,0
0.695,61,2.0,0.0,4203.0,1952.0,0.0,1
1.45,105,3.0,0.0,5588.0,,,0
1.98,63,2.0,0.0,4928.0,2009.0,1.0,1
2.94,61,3.0,0.0,3592.0,1988.0,1.0,0
2.0300000000000002,59,2.0,0.0,3617.0,1984.0,,0
1.47,47,2.0,0.0,2053.0,1986.0,1.0,1
1.599,63,2.0,0.0,4466.0,1990.0,0.0,1
2.45,80,3.0,0.0,4561.0,2015.0,1.0,1
2.22,37,1.0,0.0,2633.0,1938.0,0.0,0
0.5399999999999999,52,2.0,0.0,2519.0,1949.0,0.0,0
1.88,56,2.0,0.0,3308.0,1999.0,1.0,0
2.17,42,2.0,0.0,2569.0,2013.0,1.0,1
6.91,89,4.0,0.0,2461.0,1964.0,1.0,1
1.68,84,3.0,0.0,5096.0,1969.0,0.0,1
1.45,58,2.0,0.0,2686.0,1966.0,0.0,1
2.69,52,2.0,0.0,3442.0,2012.0,0.0,1
3.485,95,3.0,0.0,4609.0,2011.0,1.0,0
0.625,74,2.0,0.0,4553.0,1994.0,,1
1.5,61,2.0,0.0,4054.0,1971.0,0.0,0
4.535,87,3.0,0.0,4467.0,2006.0,1.0,1
0.6579999999999999,38,1.0,0.0,2960.0,1913.0,0.0,1
1.58,38,2.0,0.0,2844.0,1973.0,1.0,1
0.84,99,4.0,0.0,5891.0,1975.0,0.0,1
2.005,74,3.0,0.0,2535.0,1974.0,1.0,0
1.3,48,2.0,1.0,2432.0,2015.0,,0
3.86,71,3.0,0.0,5119.0,1948.0,0.0,1
1.5,68,3.0,1.0,3161.0,2015.0,,0
3.9699999999999998,47,3.0,0.0,2952.0,1947.0,1.0,1
3.1,46,2.0,0.0,2135.0,1933.0,1.0,1
1.1,42,1.0,0.0,1866.0,1945.0,0.0,0
1.125,43,2.0,0.0,2769.0,1939.0,0.0,0
1.545,43,2.0,0.0,2705.0,1961.0,0.0,1
1.6,70,2.0,0.0,3010.0,1944.0,0.0,0
