municip_code,municip_name,county_code,year,pop,share0_19,share75_,share_elementary_school,share_secondary_school,share_tertiary_school,tax_rate,tax_rate_4_years_back,tax_base,expenditures,real_tax_base,real_expenditures,share_votes_left_last_election,share_seats_left_last_election,nr_seats_council,coalition_last_term,left_coalition_last_term
192,Nynäshamn,1,2022,29495,0.2293609086285811,0.10913714188845568,0.19525683822430373,0.5123312241542524,0.29241193762144385,19.85,19.85,224628,66373.0,243830.60513473183,72046.97880321044,0.3420068122173209,0.34146341463414637,41.0,B,0
305,Håbo,3,2022,22344,0.2659326888650197,0.08785356247762263,0.18866937066596887,0.5073923851890619,0.3039382441449692,21.09,21.34,247255,75714.0,268391.9024902867,82186.50585488489,0.3240905057675244,0.34146341463414637,41.0,B,0
319,Älvkarleby,3,2022,9627,0.23278279837955748,0.11997507011530072,0.22152957275353505,0.5359586437585525,0.2425117834879124,22.69,22.69,207797,73875.0,225560.78607823543,80190.29664302008,0.45980022924512853,0.45161290322580644,31.0,BL,0
330,Knivsta,3,2022,19818,0.3033605812897366,0.05959228983752145,0.15194372454646426,0.38807848944835244,0.45997778600518324,20.91,20.91,257395,68406.0,279398.73305489204,74253.77234737639,0.27127380744364843,0.25806451612903225,31.0,BL,0
331,Heby,3,2022,14303,0.2238691183667762,0.11703838355589737,0.20984007334216156,0.5655495568911073,0.22461036976673118,22.5,22.5,198725,73815.0,215713.25482753522,80125.16746808158,0.3743652020313535,0.36585365853658536,41.0,BL,0
360,Tierp,3,2022,21485,0.22978822434256457,0.11980451477775192,0.20063169458939853,0.5649546827794562,0.2344136226311453,21.29,20.99,199253,82115.0,216286.39156699396,89134.70333457318,0.397025007185973,0.40816326530612246,49.0,B,0
380,Uppsala,3,2022,237596,0.2250458761932019,0.08063267058367986,0.1256395512579797,0.32867067217423956,0.5456897765677807,21.14,21.14,240566,69025.0,261131.08497089363,74925.68833549185,0.4307003556972893,0.4444444444444444,81.0,BL,0
381,Enköping,3,2022,47489,0.2465834193181579,0.10118132620185727,0.18346301099172532,0.5069778930468074,0.3095590959614672,21.34,21.34,223463,71150.0,242566.01365467606,77232.34661456349,0.3297082505489909,0.3333333333333333,51.0,B,0
382,Östhammar,3,2022,22364,0.21172419960651045,0.1344124485780719,0.19563655366124502,0.5614997713763146,0.2428636749624404,21.69,21.69,224832,74682.0,244052.0443295227,81066.28404594281,0.3754490612078899,0.3877551020408163,49.0,BL,0
428,Vingåker,4,2022,9063,0.22928390157784398,0.12424142116297032,0.2621124031007752,0.5300387596899225,0.20784883720930233,22.67,22.73,192803,85769.0,209285.00526110592,93101.07008832743,0.4424882629107981,0.45161290322580644,31.0,BL,0
461,Gnesta,4,2022,11513,0.2405975853383132,0.11308955094241292,0.19264990328820117,0.4862669245647969,0.32108317214700194,22.12,22.18,218486,78057.0,237163.54859352804,84729.80013623307,0.39903181189488246,0.3870967741935484,31.0,BL,0
480,Nyköping,4,2022,57633,0.2360626724272552,0.1225860184269429,0.18160765747221078,0.48945039110745164,0.3289419514203376,21.42,21.48,221768,81009.0,240726.11446266362,87934.15554320694,0.4370629370629371,0.4426229508196721,61.0,BL,0
481,Oxelösund,4,2022,12132,0.22197494230135179,0.14581272667326078,0.19558438318573032,0.5549457403018585,0.24946987651241112,22.22,22.28,206939,77020.0,224629.43887661496,83604.1508960461,0.5398536773199846,0.5483870967741935,31.0,V,1
482,Flen,4,2022,16316,0.22401323853885757,0.13980142191713654,0.2489341983317887,0.5056533827618165,0.2454124189063948,22.27,22.33,189143,85272.0,205312.1255898578,92561.5834225869,0.41875302078298693,0.4222222222222222,45.0,V,1
483,Katrineholm,4,2022,34764,0.23978828673340238,0.11529168104936141,0.22612383375742154,0.5015267175572519,0.27234944868532657,22.12,22.18,202946,81962.0,220295.09228445822,88968.62393848001,0.547649416909621,0.5490196078431373,51.0,BL,0
484,Eskilstuna,4,2022,107593,0.24597325104793064,0.09917931463942821,0.20666216216216216,0.46725675675675676,0.3260810810810811,22.02,22.08,204693,82707.0,222191.43676141737,89777.3111939663,0.46552587123819056,0.46153846153846156,65.0,BL,0
486,Strängnäs,4,2022,38129,0.24718718036140472,0.10960161556820268,0.188412550481516,0.4586828207517863,0.35290462876669776,21.67,21.73,235599,69487.0,255739.47477223535,75427.18298251825,0.32834770367763505,0.34545454545454546,55.0,BL,0
488,Trosa,4,2022,14658,0.23905034793286942,0.11515895756583436,0.17955492328015446,0.4925312468245097,0.32791382989533585,21.6,21.66,245139,71534.0,266095.0135874558,77649.17333416986,0.3304571940833707,0.34285714285714286,35.0,B,0
509,Ödeshög,5,2022,5309,0.21943868901864758,0.13882087022038048,0.21295774647887325,0.5416901408450704,0.24535211267605633,22.6,21.6,201199,79202.0,218398.74780749908,85972.68189130932,0.24564851207186975,0.22857142857142856,35.0,BL,0
512,Ydre,5,2022,3695,0.2029769959404601,0.1548037889039242,0.18958502847843775,0.5179007323026851,0.29251423921887715,22.55,21.95,207896,83644.0,225668.24921688394,90794.41180925578,0.3099189502122733,0.3333333333333333,21.0,BL,0
513,Kinda,5,2022,10048,0.2220342356687898,0.1337579617834395,0.19624247761632174,0.5219433436078086,0.2818141787758697,21.45,20.95,210697,78027.0,228708.6962002626,84697.23554876383,0.3484984984984985,0.34285714285714286,35.0,BL,0
560,Boxholm,5,2022,5512,0.20809143686502177,0.12772133526850507,0.19800420168067226,0.5603991596638656,0.2415966386554622,21.82,21.82,210910,78615.0,228939.90477129427,85335.50146316105,0.4897186147186147,0.4827586206896552,29.0,V,1
