municip_code,municip_name,county_code,year,pop,share0_19,share75_,share_elementary_school,share_secondary_school,share_tertiary_school,tax_rate,tax_rate_4_years_back,tax_base,expenditures,real_tax_base,real_expenditures,share_votes_left_last_election,share_seats_left_last_election,nr_seats_council,coalition_last_term,left_coalition_last_term
763,Tingsryd,7,2006,12793,0.22653013366684907,0.13546470726178378,0.3311576777739608,0.5022329096530402,0.16660941257299897,21.46,21.46,132454,49282.0,188134.94811591823,69999.14319725099,0.36556936083002434,0.3469387755102041,49.0,BL,0
763,Tingsryd,7,2010,12358,0.21176565787344231,0.14031396666127205,0.2981388271099146,0.5169144328690156,0.1849467400210699,21.46,21.46,152205,58708.0,202483.85549480573,78101.39081100526,0.3477922077922078,0.34146341463414637,41.0,A,0
763,Tingsryd,7,2014,12156,0.1966929911154985,0.1405890095426127,0.2511328404483663,0.5382780825184832,0.2105890770331505,21.46,21.46,163209,66101.0,210175.0100720113,85122.6240021691,0.34416334917169644,0.34146341463414637,41.0,BL,0
763,Tingsryd,7,2018,12451,0.20913982812625492,0.1343667175327283,0.23903818953323905,0.5347713342762848,0.2261904761904762,21.07,21.46,180017,77486.0,221295.91526107577,95253.9776238895,0.37405541561712846,0.3902439024390244,41.0,BL,0
763,Tingsryd,7,2022,12319,0.20902670671320725,0.14635928240928647,0.21557397026565928,0.541189373629052,0.2432366561052888,22.0,21.07,197128,87801.0,213979.7332879223,95306.77814624441,0.3577447335811648,0.36585365853658536,41.0,BL,0
764,Alvesta,7,2002,18957,0.2605370048003376,0.09848604737036451,0.34028732997096134,0.49373376127158797,0.16597890875745072,21.21,20.5,115840,42886.0,171400.4600959042,63455.45693778443,0.3897485493230174,0.3877551020408163,49.0,BL,0
764,Alvesta,7,2006,18684,0.24860843502462,0.1028687647184757,0.3036111324081883,0.5027984359426513,0.19359043164916048,21.21,21.21,140749,50386.0,199916.99618257943,71567.24218044496,0.3611728120835184,0.3673469387755102,49.0,B,0
764,Alvesta,7,2010,18757,0.24071013488297702,0.10417444154182438,0.2821589434307962,0.5021757386060005,0.2156653179632033,22.11,21.21,158048,59118.0,210257.01122330446,78646.82874506044,0.35675533776688834,0.3469387755102041,49.0,BL,0
764,Alvesta,7,2014,19280,0.23895228215767636,0.10015560165975104,0.2507124643767812,0.5112494375281236,0.23803809809509524,21.81,22.11,167091,64151.0,215174.11789755736,82611.480194901,0.31744937526928046,0.32653061224489793,49.0,A,0
764,Alvesta,7,2018,20026,0.2535703585339059,0.09917107759912114,0.23356851095432604,0.5079093947270702,0.2585220943186038,21.42,21.81,185350,74189.0,227851.80229445215,91200.95689464857,0.36338028169014086,0.3673469387755102,49.0,BL,0
764,Alvesta,7,2022,20287,0.2598708532557796,0.10938039138364469,0.22011596788581622,0.5075825156110616,0.27230151650312223,21.42,21.42,197564,80522.0,214453.00529247537,87405.52373995617,0.3443052030456853,0.3469387755102041,49.0,BL,0
765,Älmhult,7,2002,15442,0.2489962440098433,0.10607434270172257,0.35092373282804357,0.46736144007579344,0.18171482709616296,19.21,18.5,121098,37846.0,179180.3601233927,55998.1164778107,0.4479446395372857,0.4489795918367347,49.0,B,0
765,Älmhult,7,2006,15346,0.24371171640818454,0.10973543594421999,0.3134695421869088,0.4724744608399546,0.2140559969731366,20.6,19.21,150324,44525.0,213517.13002685682,63242.397850282054,0.4797363017399762,0.4897959183673469,49.0,BL,0
765,Älmhult,7,2010,15570,0.23911368015414258,0.10558766859344894,0.2725921798086747,0.481471161883533,0.24593665830779232,20.6,20.6,173569,50708.0,230905.16286835476,67458.69941480641,0.4165949203616014,0.4146341463414634,41.0,A,0
765,Älmhult,7,2014,15759,0.234342280601561,0.10343295894409543,0.2385134510492743,0.4813719145789036,0.28011463437182216,21.35,20.6,192962,58357.0,248489.9135067027,75150.16367217716,0.43237159811745446,0.43902439024390244,41.0,A,0
765,Älmhult,7,2018,17148,0.251457895964544,0.09383018427804991,0.20580122786724797,0.4691698549693033,0.3250289171634487,20.96,21.35,220904,68229.0,271558.535387395,83874.2952184957,0.4670670670670671,0.4634146341463415,41.0,V,1
765,Älmhult,7,2022,17963,0.2605355452875355,0.09848020931915605,0.1906671216515953,0.452482511516806,0.3568503668315987,21.86,20.96,237839,80197.0,258170.9639699391,87052.74070903934,0.37730001936858415,0.36585365853658536,41.0,B,0
767,Markaryd,7,2002,9716,0.2268423219431865,0.11722931247426925,0.4044893711907239,0.475397651256132,0.12011297755314404,21.0,21.0,114262,38863.0,169065.6023090315,57502.90124919826,0.4543941411451398,0.4358974358974359,39.0,BL,0
767,Markaryd,7,2006,9571,0.226204158395152,0.11503500156723435,0.36587194481931323,0.49272754535912433,0.14140050982156246,21.0,21.0,135233,43924.0,192082.18278466465,62388.749762510706,0.4760548335410361,0.46153846153846156,39.0,B,0
767,Markaryd,7,2010,9559,0.22188513442828747,0.11392405063291139,0.33388133313406065,0.5070990883276042,0.15901957853833507,21.0,21.0,148499,51519.0,197553.6287055166,68537.60225509606,0.3545020343180612,0.358974358974359,39.0,A,0
767,Markaryd,7,2014,9515,0.2068313189700473,0.11802417235943248,0.2997447064123742,0.5230515092356209,0.17720378435200482,21.0,21.0,158606,58912.0,204247.4229208035,75864.87383270732,0.34356035064059337,0.34285714285714286,35.0,A,0
767,Markaryd,7,2018,10170,0.2254670599803343,0.1183874139626352,0.2750473968207671,0.5255942832142336,0.19935831996499928,21.31,21.0,173405,68649.0,213167.74630088737,84390.6035916474,0.32969215491559084,0.3142857142857143,35.0,A,0
767,Markaryd,7,2022,10320,0.22819767441860464,0.12790697674418605,0.2467589864466706,0.5319681791396582,0.22127283441367118,21.31,21.31,192292,80006.0,208730.32178787974,86845.41283548513,0.2761411460019424,0.2571428571428571,35.0,B,0
780,Växjö,7,2002,74082,0.2358467643962096,0.07925002024783348,0.22834294216105636,0.44974893063046306,0.32190812720848055,20.96,20.75,129164,40375.0,191115.06412143796,59740.10338719038,0.5138425763425764,0.5081967213114754,61.0,V,1
780,Växjö,7,2006,77363,0.23263058568049325,0.0816798728074144,0.20328392651104996,0.4370462412354664,0.35966983225348365,20.96,20.96,149936,46138.0,212966.0227755169,65533.47000598122,0.5087563781025686,0.5245901639344263,61.0,V,1
780,Växjö,7,2010,82023,0.23720176048181607,0.08051400217012301,0.19047859791034716,0.4356757667677789,0.3738456353218739,20.76,20.96,168616,54973.0,224316.00655768314,73132.58426540492,0.4661588284416563,0.47540983606557374,61.0,A,0
780,Växjö,7,2014,85822,0.2359534851203654,0.08134277924075412,0.17095946472651682,0.4305573600103937,0.3984831752630895,20.66,20.76,181639,59750.0,233908.5384658325,76944.02178680511,0.4452676773433641,0.45901639344262296,61.0,A,0
